Sun,Mon,Tue,Wed,Thu,Fri,Sat,Date,FC range
0,0,1,1,1,1,0,2021-01-08,439.0
1,1,1,1,0,0,1,2021-01-13,240.0
1,1,0,0,1,1,1,2021-01-18,247.00000000000003
0,0,1,1,1,1,0,2021-01-22,260.0
1,1,1,1,0,0,1,2021-01-27,238.99999999999997
1,1,1,1,2,1,1,2021-02-04,453.0
1,1,1,0,0,1,1,2021-02-09,238.99999999999997
0,0,0,1,1,1,1,2021-02-13,220.99999999999994
1,1,1,1,0,0,0,2021-02-17,215.99999999999997
1,1,0,0,1,1,1,2021-02-22,246.0
0,0,1,1,1,0,0,2021-02-25,208.00000000000003
1,1,1,0,0,1,1,2021-03-02,241.00000000000003
1,1,1,1,1,1,1,2021-03-09,382.0000000000001
0,0,0,1,1,1,0,2021-03-12,204.99999999999997
1,1,1,1,0,0,1,2021-03-17,240.0
1,1,0,0,1,1,1,2021-03-22,248.99999999999997
0,0,1,1,1,0,0,2021-03-25,204.0
1,1,1,1,1,2,1,2021-04-02,444.9999999999999
1,1,1,1,0,0,1,2021-04-07,241.00000000000003
2,2,2,1,2,2,2,2021-04-20,690.0
1,1,1,2,1,1,1,2021-04-28,448.99999999999994
1,1,0,0,1,1,1,2021-05-03,248.0
0,0,1,1,1,0,0,2021-05-06,204.0
1,1,1,0,0,1,1,2021-05-11,243.0
1,1,1,2,2,2,2,2021-05-22,596.0
2,1,1,1,1,1,1,2021-05-30,391.0
0,1,1,1,1,0,0,2021-06-03,272.0
1,1,1,0,0,1,1,2021-06-08,236.99999999999997
0,0,0,1,1,1,0,2021-06-11,202.0
1,1,1,1,0,0,1,2021-06-16,248.0
1,1,1,1,2,1,1,2021-06-24,448.0
1,1,1,1,1,2,1,2021-07-02,440.0
1,1,1,1,0,0,1,2021-07-07,240.0
1,1,0,0,1,1,1,2021-07-12,250.0
0,0,1,1,1,0,0,2021-07-15,204.99999999999997
1,1,1,0,0,1,1,2021-07-20,232.99999999999994
0,0,0,1,1,1,1,2021-07-24,209.00000000000003
1,1,1,1,0,0,0,2021-07-28,220.99999999999994
1,1,0,0,1,1,1,2021-08-02,246.0
0,0,1,1,1,0,0,2021-08-05,203.0
1,1,1,0,0,1,1,2021-08-10,242.00000000000003
0,0,0,1,1,1,0,2021-08-13,202.0
2,2,2,2,2,1,2,2021-08-26,686.0
1,1,1,0,0,1,1,2021-08-31,229.00000000000003
0,0,0,1,1,1,1,2021-09-04,218.0
1,1,1,1,0,0,0,2021-09-08,214.00000000000003
1,1,0,0,1,1,1,2021-09-13,248.99999999999997
0,0,1,1,1,0,0,2021-09-16,205.99999999999997
1,1,1,0,0,1,1,2021-09-21,227.00000000000003
0,0,0,1,1,1,1,2021-09-25,223.0
1,1,1,1,0,0,0,2021-09-29,225.0
1,1,0,0,1,1,1,2021-10-04,251.0
0,0,1,1,1,0,0,2021-10-07,204.99999999999997
1,1,1,0,0,1,1,2021-10-12,241.00000000000003
0,0,0,1,1,1,1,2021-10-16,220.99999999999994
1,1,1,1,0,0,0,2021-10-20,210.99999999999997
1,1,0,0,1,1,1,2021-10-25,247.00000000000003
0,0,1,1,1,0,0,2021-10-28,204.99999999999997
1,1,1,0,0,1,1,2021-11-02,238.0
0,0,0,1,1,1,1,2021-11-06,220.00000000000006
1,1,1,1,0,0,0,2021-11-10,215.99999999999997
1,1,0,0,1,1,1,2021-11-15,257.0
0,0,1,1,1,0,0,2021-11-18,204.0
1,1,1,0,0,1,1,2021-11-23,240.0
0,0,0,1,1,1,1,2021-11-27,223.99999999999997
1,1,1,1,0,0,0,2021-12-01,219.00000000000003
1,1,0,0,1,1,1,2021-12-06,250.0
0,0,1,1,1,0,0,2021-12-09,204.99999999999997
1,1,1,0,0,1,1,2021-12-14,236.99999999999997
0,0,0,1,1,1,1,2021-12-18,219.00000000000003
2,2,2,2,1,1,1,2021-12-29,593.0
