Date,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Actual Km
08-01-2021,1,1,1,1,1,2,1,439
13-01-2021,1,1,1,1,0,0,1,240
18-01-2021,1,1,0,0,1,1,1,247
22-01-2021,0,0,1,1,1,1,0,260
27-01-2021,1,1,1,1,0,0,1,239
04-02-2021,1,1,1,1,2,1,1,453
09-02-2021,1,1,1,0,0,1,1,239
13-02-2021,0,0,0,1,1,1,1,221
17-02-2021,1,1,1,1,0,0,0,216
22-02-2021,1,1,0,0,1,1,1,246
25-02-2021,0,0,1,1,1,0,0,208
02-03-2021,1,1,1,0,0,1,1,241
09-03-2021,1,1,1,1,1,1,1,382
12-03-2021,0,0,0,1,1,1,0,205
17-03-2021,1,1,1,1,0,0,1,240
22-03-2021,1,1,0,0,1,1,1,249
25-03-2021,0,0,1,1,1,0,0,204
02-04-2021,1,1,1,1,1,2,1,445
07-04-2021,1,1,1,1,0,0,1,241
20-04-2021,2,2,2,1,2,2,2,690
28-04-2021,1,1,1,2,1,1,1,449
03-05-2021,1,1,0,0,1,1,1,248
06-05-2021,0,0,1,1,1,0,0,204
11-05-2021,1,1,1,0,0,1,1,243
22-05-2021,1,1,1,2,2,2,2,596
30-05-2021,2,1,1,1,1,1,1,391
03-06-2021,0,1,1,1,1,0,0,272
08-06-2021,1,1,1,0,0,1,1,237
11-06-2021,0,0,0,1,1,1,0,202
16-06-2021,1,1,1,1,0,0,1,248
24-06-2021,1,1,1,1,2,1,1,448
02-07-2021,1,1,1,1,1,2,1,440
07-07-2021,1,1,1,1,0,0,1,240
12-07-2021,1,1,0,0,1,1,1,250
15-07-2021,0,0,1,1,1,0,0,205
20-07-2021,1,1,1,0,0,1,1,233
24-07-2021,0,0,0,1,1,1,1,209
28-07-2021,1,1,1,1,0,0,0,221
02-08-2021,1,1,0,0,1,1,1,246
05-08-2021,0,0,1,1,1,0,0,203
10-08-2021,1,1,1,0,0,1,1,242
13-08-2021,0,0,0,1,1,1,0,202
26-08-2021,2,2,2,2,2,1,2,686
31-08-2021,1,1,1,0,0,1,1,229
04-09-2021,0,0,0,1,1,1,1,218
08-09-2021,1,1,1,1,0,0,0,214
13-09-2021,1,1,0,0,1,1,1,249
16-09-2021,0,0,1,1,1,0,0,206
21-09-2021,1,1,1,0,0,1,1,227
25-09-2021,0,0,0,1,1,1,1,223
29-09-2021,1,1,1,1,0,0,0,225
04-10-2021,1,1,0,0,1,1,1,251
07-10-2021,0,0,1,1,1,0,0,205
12-10-2021,1,1,1,0,0,1,1,241
16-10-2021,0,0,0,1,1,1,1,221
20-10-2021,1,1,1,1,0,0,0,211
25-10-2021,1,1,0,0,1,1,1,247
28-10-2021,0,0,1,1,1,0,0,205
02-11-2021,1,1,1,0,0,1,1,238
06-11-2021,0,0,0,1,1,1,1,220
10-11-2021,1,1,1,1,0,0,0,216
15-11-2021,1,1,0,0,1,1,1,257
18-11-2021,0,0,1,1,1,0,0,204
23-11-2021,1,1,1,0,0,1,1,240
27-11-2021,0,0,0,1,1,1,1,224
01-12-2021,1,1,1,1,0,0,0,219
06-12-2021,1,1,0,0,1,1,1,250
09-12-2021,0,0,1,1,1,0,0,205
14-12-2021,1,1,1,0,0,1,1,237
18-12-2021,0,0,0,1,1,1,1,219
29-12-2021,2,2,2,2,1,1,1,593
